rt,key_press,correct,coherent_movement_direction,coherent_orientation,task_type,task_transition,congruency,id,run
959,f,TRUE,180,180,mov,repetition,congruent,1,4
931,f,FALSE,0,180,mov,repetition,incongruent,1,4
798,j,TRUE,180,0,or,switch,incongruent,1,4
960,f,TRUE,180,180,or,repetition,congruent,1,4
738,f,FALSE,0,180,mov,switch,incongruent,1,4
820,j,TRUE,180,0,or,switch,incongruent,1,4
826,j,FALSE,0,180,or,repetition,incongruent,1,4
637,j,TRUE,0,180,mov,switch,incongruent,1,4
659,f,TRUE,180,180,or,switch,congruent,1,4
585,f,TRUE,180,180,mov,switch,congruent,1,4
559,j,FALSE,180,0,mov,repetition,incongruent,1,4
539,j,TRUE,0,0,mov,repetition,congruent,1,4
682,j,FALSE,180,0,mov,repetition,incongruent,1,4
529,j,TRUE,0,180,mov,repetition,incongruent,1,4
682,j,FALSE,0,180,or,switch,incongruent,1,4
591,f,TRUE,180,180,mov,switch,congruent,1,4
428,j,FALSE,0,180,or,switch,incongruent,1,4
716,f,TRUE,0,180,or,repetition,incongruent,1,4
820,f,TRUE,180,180,mov,switch,congruent,1,4
716,j,TRUE,0,0,mov,repetition,congruent,1,4
1004,f,FALSE,0,0,or,switch,congruent,1,4
565,f,TRUE,180,180,or,repetition,congruent,1,4
481,f,TRUE,180,0,mov,switch,incongruent,1,4
607,j,TRUE,0,0,mov,repetition,congruent,1,4
799,j,TRUE,180,0,or,switch,incongruent,1,4
802,j,TRUE,0,0,mov,switch,congruent,1,4
937,j,FALSE,0,180,or,switch,incongruent,1,4
709,j,TRUE,180,0,or,repetition,incongruent,1,4
986,f,TRUE,180,180,mov,switch,congruent,1,4
651,j,FALSE,0,180,or,switch,incongruent,1,4
637,j,TRUE,0,0,mov,switch,congruent,1,4
629,f,TRUE,180,180,or,switch,congruent,1,4
560,j,TRUE,0,0,or,repetition,congruent,1,4
860,f,FALSE,180,0,or,repetition,incongruent,1,4
676,f,TRUE,0,180,or,repetition,incongruent,1,4
997,j,FALSE,180,180,or,repetition,congruent,1,4
674,j,TRUE,0,0,mov,switch,congruent,1,4
715,j,TRUE,0,180,mov,repetition,incongruent,1,4
584,j,TRUE,0,0,or,switch,congruent,1,4
950,f,FALSE,180,0,or,repetition,incongruent,1,4
